,Australia,Canada,Ireland,UK,USA,Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,GDP,Politics,Poverty,Serious assault,Sexual violence,Unemployment_Rate,Alcohol,CNS_depressants,CNS_stimulants,Cannabis,Nicotine,Hallucinogens
0,0,0,0,1,0,2,1,1,0.3350752218748958,-0.5367872747007583,-0.3829675743668123,-0.9305436651290834,0.057312725903479925,-0.22636942492595227,-1.1909091637830127,-0.7578031963265918,-0.5622025191070541,-0.6748311507237543,-0.6866068062512936,0.8220482943207768,0.05963741630212597,5,2,2,0,2,0
1,0,0,0,1,0,1,-1,2,-0.7641661502039852,1.822231719588216,1.2731878944079493,0.7778770336993611,-0.08695159272785034,-0.7404006838327677,-0.19841296618613016,-0.7578031963265918,-0.5622025191070541,-0.6748311507237543,-0.6866068062512936,0.8220482943207768,-0.9418273401730376,5,2,4,4,4,2
2,0,0,0,1,0,2,-1,1,-0.544317875788209,0.7901609095867898,-0.6377607234090833,-1.7070985282329216,-1.0968018231471621,-1.4358834999725854,0.4363448574808065,-0.7578031963265918,-0.5622025191070541,-0.6748311507237543,-0.6866068062512936,0.8220482943207768,0.2095098345616311,6,0,0,3,0,1
3,0,0,0,1,0,0,1,2,-0.2145454641645447,-0.8316646489868801,0.12661872371772975,0.6225660610785934,0.634370000428801,-1.4358834999725854,-1.1909091637830127,-0.7578031963265918,-0.5622025191070541,-0.6748311507237543,-0.6866068062512936,0.8220482943207768,-1.013367093927779,4,3,2,2,2,0
4,0,0,0,1,0,2,1,2,0.7747717707064482,-1.7162967718452455,-0.25557099984567677,-0.3092997746460126,1.2114272749541222,-0.22636942492595227,-0.19841296618613016,-0.7578031963265918,-0.5622025191070541,-0.6748311507237543,-0.6866068062512936,0.8220482943207768,-1.013367093927779,4,1,1,3,2,2
5,0,1,0,0,0,5,1,0,-0.7641661502039852,-0.24190990041463648,-1.2747435960147608,1.865053842044735,1.4999559122167827,-1.4358834999725854,-1.5690920811319418,-0.20096470177398273,3.2684191108303335,-0.16420026819859837,-0.4329693613099922,-1.5866353371911508,2.5623048498351904,2,0,0,0,6,0
6,0,0,0,0,1,3,-1,2,-0.544317875788209,-1.126542023273002,-0.25557099984567677,-0.3092997746460126,0.9228986376914615,-0.22636942492595227,0.10560191940339046,1.3984963065148321,0.20536101914458768,1.4517202461215146,1.4557956777221006,-1.1661356321147156,-0.832681787716595,6,0,0,1,6,0
7,0,0,0,1,0,2,-1,0,-1.3137868362434257,1.822231719588216,-0.6377607234090833,-0.3092997746460126,1.4999559122167827,0.19992678647165357,-0.5174013201951875,-0.7578031963265918,-0.5622025191070541,-0.6748311507237543,-0.6866068062512936,0.8220482943207768,1.823070927268552,5,0,0,0,0,0
8,0,1,0,0,0,2,1,1,0.6648476334985601,2.2645477810173986,-0.7651572979302188,0.7778770336993611,1.0671629563227918,-1.4358834999725854,-1.5690920811319418,-0.20096470177398273,3.2684191108303335,-0.16420026819859837,-0.4329693613099922,-1.5866353371911508,0.37590554924011044,4,0,0,0,6,0
9,0,0,0,1,0,4,-1,2,-0.3244696013724328,0.05296747387148531,-1.1473470214936252,0.6225660610785934,0.20157704453481018,-1.4358834999725854,-0.8469410331317478,-0.7578031963265918,-0.5622025191070541,-0.6748311507237543,-0.6866068062512936,0.8220482943207768,-0.9418273401730376,6,1,1,1,6,0
